Player,Team,Opponent,FD Position,FD Salary,FD Projection,FD Value,FD Ownership,FDSlateID,FD Ceiling
Jalen Hurts,PHI,DET,QB,8000,23.1,4.5,18.8,78867-69531,32.4
Christian McCaffrey,CAR,CLE,RB,9500,20.1,3.4,22,78867-55050,28.3
Aaron Jones,GB,MIN,RB,7400,15.7,3.1,17.7,78867-40442,22.3
Saquon Barkley,NYG,TEN,RB,6800,14.6,3.1,21.4,78867-64401,20.7
Lamar Jackson,BAL,NYJ,QB,8500,23,2.8,12,78867-63115,30.4
Patrick Mahomes,KC,ARI,QB,8700,23.5,2.7,11.9,78867-57439,31.4
James Conner,ARI,KC,RB,7700,15.8,2.6,10.2,78867-40687,22.3
Justin Herbert,LAC,LV,QB,8400,22.5,2.6,10.2,78867-69189,30.2
Justin Jefferson,MIN,GB,WR,8100,16.6,2.6,21.7,78867-85671,23.3
Kyler Murray,ARI,KC,QB,8200,21.7,2.5,10,78867-63484,29.1
Joe Burrow,CIN,PIT,QB,7700,20.3,2.5,4.5,78867-63336,28.1
Joe Mixon,CIN,PIT,RB,8300,17,2.5,16.8,78867-52442,24.1
Jameis Winston,NO,ATL,QB,6700,17.2,2.5,5.6,78867-24849,24
Mitch Trubisky,PIT,CIN,QB,6400,16.2,2.4,1.2,78867-38628,20.8
Marcus Mariota,ATL,NO,QB,6500,16.5,2.3,1.6,78867-29358,22.1
Mike Williams,LAC,LV,WR,6600,13.2,2.1,17.6,78867-39829,20.2
Jonathan Taylor,IND,HOU,RB,10200,20,1.9,14.6,78867-89675,28.5
Derek Carr,LV,LAC,QB,7400,18.8,1.9,4.9,78867-45859,25.3
Washington Commanders,WAS,JAX,D,3700,7.2,1.9,11.2,78867-12552,12.1
Aaron Rodgers,GB,MIN,QB,7800,19.9,1.8,2.3,78867-6894,26.9
Brandin Cooks,HOU,IND,WR,6600,12.8,1.8,16.7,78867-29501,17.4
Antonio Gibson,WAS,JAX,RB,6800,13.3,1.8,14.7,78867-90933,19.6
Dameon Pierce,HOU,IND,RB,5400,10.4,1.7,18,78867-86055,15.5
Trey Lance,SF,CHI,QB,7500,18.8,1.7,5,78867-149696,24.7
D'Andre Swift,DET,PHI,RB,7600,14.7,1.6,16.6,78867-91598,21.7
Travis Etienne Jr.,JAX,WAS,RB,6200,11.8,1.6,9,78867-89956,17.4
Kirk Cousins,MIN,GB,QB,7300,18.1,1.6,1.9,78867-22038,23.8
Tee Higgins,CIN,PIT,WR,7000,13.4,1.5,12.4,78867-89981,19.7
Clyde Edwards-Helaire,KC,ARI,RB,5800,11,1.5,11,78867-85741,16.2
Dalvin Cook,MIN,GB,RB,8400,16.1,1.5,9.1,78867-54140,22.4
Marquise Brown,ARI,KC,WR,6900,13.1,1.4,16.8,78867-86687,18.8
Derrick Henry,TEN,NYG,RB,9700,18.6,1.4,12.4,78867-39280,25.9
Ja'Marr Chase,CIN,PIT,WR,8200,15.5,1.3,10.7,78867-85701,22.7
Alvin Kamara,NO,ATL,RB,8500,16.2,1.3,14.9,78867-42104,23.5
Atlanta Falcons,ATL,NO,D,3600,6.5,1.3,4.3,78867-12525,11.1
Jared Goff,DET,PHI,QB,6800,16.2,1.2,0.5,78867-38435,20.5
Tua Tagovailoa,MIA,NE,QB,7000,16.8,1.2,2.8,78867-90572,23.1
Chase Edmonds,MIA,NE,RB,5800,10.7,1.2,11.6,78867-83081,16.3
Joe Flacco,NYJ,BAL,QB,6200,14.4,1.2,0.5,78867-6714,20.1
Carson Wentz,WAS,JAX,QB,6800,16.3,1.2,1,78867-70324,22.6
Pittsburgh Steelers,PIT,CIN,D,3500,6.2,1.2,11.4,78867-12547,10.6
DJ Moore,CAR,CLE,WR,6400,11.8,1.1,16.6,78867-63043,16.5
Christian Kirk,JAX,WAS,WR,5800,10.6,1.1,14.6,78867-60858,15
