"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Jalen Hurts","PHI","WAS","QB","8100","24.8","5.8","22.0","80801-69531","35.0"
"Josh Allen","BUF","MIA","QB","9000","27.2","5.5","19.1","80801-62239","37.0"
"Stefon Diggs","BUF","MIA","WR","8300","18.6","4.2","23.4","80801-25079","29.7"
"Leonard Fournette","TB","GB","RB","7200","16.4","4.2","31.3","80801-52922","21.5"
"Kirk Cousins","MIN","DET","QB","7600","21.5","4.1","10.8","80801-22038","28.2"
"Christian McCaffrey","CAR","NO","RB","8500","18.2","3.4","17.9","80801-55050","26.3"
"Joe Mixon","CIN","NYJ","RB","8200","17.7","3.4","19.5","80801-52442","24.9"
"Dalvin Cook","MIN","DET","RB","8300","17.8","3.4","22.2","80801-54140","25.5"
"Derek Carr","LV","TEN","QB","7100","18.4","2.5","3.4","80801-45859","25.0"
"Alvin Kamara","NO","CAR","RB","7000","14.4","2.5","14.6","80801-42104","22.0"
"Cincinnati Bengals","CIN","NYJ","D","3600","7.6","2.5","18.7","80801-12528","12.6"
"Tua Tagovailoa","MIA","BUF","QB","7300","18.9","2.4","2.6","80801-90572","26.5"
"Jacksonville Jaguars","JAX","LAC","D","3200","6.7","2.4","0.9","80801-12554","11.4"
"Joe Burrow","CIN","NYJ","QB","7500","19.4","2.3","5.4","80801-63336","27.2"
"Justin Jefferson","MIN","DET","WR","9500","19.1","2.3","14.7","80801-85671","30.7"
"Geno Smith","SEA","ATL","QB","6300","15.7","2.2","2.4","80801-26483","20.7"
"David Montgomery","CHI","HOU","RB","7100","14.2","2.1","21.3","80801-73273","21.4"
"Amon-Ra St. Brown","DET","MIN","WR","7800","15.5","2.1","14.2","80801-86997","24.8"
"Brandin Cooks","HOU","CHI","WR","6600","13.2","2.1","14.1","80801-29501","19.9"
"Davante Adams","LV","TEN","WR","8700","17.3","2.1","10.2","80801-45889","27.5"
"Seattle Seahawks","SEA","ATL","D","3400","6.9","2.1","8.9","80801-12550","11.6"
"Patrick Mahomes","KC","IND","QB","8700","22.7","2.0","5.3","80801-57439","30.5"
"Marcus Mariota","ATL","SEA","QB","7300","18.5","1.9","1.8","80801-29358","24.8"
"Carolina Panthers","CAR","NO","D","3900","7.6","1.9","5.8","80801-12553","12.6"
"Justin Fields","CHI","HOU","QB","7000","17.5","1.8","0.9","80801-91591","23.7"
"Jared Goff","DET","MIN","QB","7100","17.7","1.8","1.2","80801-38435","24.9"
"Dameon Pierce","HOU","CHI","RB","5800","11.3","1.8","19.6","80801-86055","17.3"
"Cooper Kupp","LA","ARI","WR","9800","19.1","1.7","20.8","80801-79970","30.3"
"Houston Texans","HOU","CHI","D","3800","7.2","1.6","3.9","80801-12556","12.0"
