"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Derek Carr","LV","ARI","QB","7300","20.5","4.0","16.6","80468-45859","27.3"
"Darrell Henderson Jr.","LA","ATL","RB","6200","14.2","3.9","31.9","80468-70157","21.7"
"Joe Mixon","CIN","DAL","RB","8300","17.8","3.4","12.3","80468-52442","25.1"
"Lamar Jackson","BAL","MIA","QB","8200","22.4","3.2","16.4","80468-63115","29.9"
"Josh Jacobs","LV","ARI","RB","6600","14.3","3.2","22.2","80468-72731","21.4"
"Christian McCaffrey","CAR","NYG","RB","9000","18.9","3.1","21.4","80468-55050","27.2"
"Saquon Barkley","NYG","CAR","RB","8800","18.5","3.1","22.8","80468-64401","26.8"
"Jonathan Taylor","IND","JAX","RB","10000","20.8","3.0","17.6","80468-89675","29.8"
"Russell Wilson","DEN","HOU","QB","7500","19.9","2.7","9.4","80468-22015","28.4"
"Jared Goff","DET","WAS","QB","6700","17.4","2.7","4.6","80468-38435","22.8"
"Davante Adams","LV","ARI","WR","8800","18.1","2.7","30.7","80468-45889","29.3"
"Deebo Samuel","SF","SEA","WR","8000","16.5","2.7","16.2","80468-56018","26.9"
"Javonte Williams","DEN","HOU","RB","7300","15.0","2.5","17.7","80468-93541","23.1"
"Tua Tagovailoa","MIA","BAL","QB","6800","17.5","2.5","3.8","80468-90572","23.9"
"James Conner","ARI","LV","RB","7600","15.5","2.4","11.7","80468-40687","22.5"
"Leonard Fournette","TB","NO","RB","7800","15.9","2.4","14.9","80468-52922","21.3"
"Cincinnati Bengals","CIN","DAL","D","3900","8.0","2.2","23.6","80468-12528","13.1"
"Trey Lance","SF","SEA","QB","7500","19.2","2.0","7.7","80468-149696","26.9"
"New England Patriots","NE","PIT","D","3700","7.3","2.0","13.3","80468-12541","12.3"
"Jerry Jeudy","DEN","HOU","WR","6300","12.4","1.9","17.7","80468-90561","21.5"
"Matthew Stafford","LA","ATL","QB","7600","19.4","1.9","9.1","80468-6654","26.3"
"Cooper Kupp","LA","ATL","WR","9700","19.0","1.9","21.4","80468-79970","30.9"
"Damien Harris","NE","PIT","RB","6000","11.8","1.9","10.9","80468-64576","17.5"
"Carson Wentz","WAS","DET","QB","7400","18.7","1.9","5.2","80468-70324","24.9"
"Marcus Mariota","ATL","LA","QB","7300","18.2","1.7","1.8","80468-29358","25.3"
"Melvin Gordon III","DEN","HOU","RB","6000","11.6","1.7","11.5","80468-28900","17.6"
"D'Andre Swift","DET","WAS","RB","8200","15.9","1.7","10.6","80468-91598","22.9"
"Alvin Kamara","NO","TB","RB","7200","13.9","1.7","10.7","80468-42104","21.0"
"Tampa Bay Buccaneers","TB","NO","D","4200","8.0","1.7","6.9","80468-12551","13.2"
"Julio Jones","TB","NO","WR","5700","10.9","1.6","14.8","80468-14190","17.7"
"New York Giants","NYG","CAR","D","4100","7.8","1.6","4.4","80468-12543","12.9"
