Nickname,Team,Opponent,Position,Salary,FPPG,FD Value,Projected Ownership,ID,FD Ceiling,First Name,Last Name,Played,Game,Injury Indicator,Injury Details,Tier,Roster Position
Ross Dwelley,SF,CHI,TE,4100,0.4,-5.8,0,78867-83138,3.1,,,,,,,,
Nick Boyle,BAL,NYJ,TE,4100,0.2,-5.9,0,78867-62510,3.3,,,,,,,,
Anthony Schwartz,CLE,CAR,WR,4800,1.6,-5.9,0,78867-87662,3.9,,,,,,,,
Brock Wright,DET,PHI,TE,4500,1,-5.9,0,78867-91046,3.5,,,,,,,,
Amari Rodgers,GB,MIN,WR,4600,1.2,-5.9,0,78867-89970,4.2,,,,,,,,
Josiah Deguara,GB,MIN,TE,4500,1,-5.9,0,78867-61112,4,,,,,,,,
Jody Fortson,KC,ARI,TE,4300,0.6,-5.9,0,78867-104447,4.5,,,,,,,,
Johnny Mundt,MIN,GB,TE,4200,0.5,-5.9,0,78867-40371,3,,,,,,,,
Jaylen Warren,PIT,CIN,RB,4500,1,-5.9,0,78867-112057,3,,,,,,,,
Andy Isabella,ARI,KC,WR,4700,1.3,-6,0,78867-63419,4.2,,,,,,,,
Damiere Byrd,ATL,NO,WR,4800,1.5,-6,0,78867-30678,3.4,,,,,,,,
C.J. Ham,MIN,GB,RB,4500,1,-6,0,78867-70501,3.1,,,,,,,,
Antonio Williams,NYG,TEN,RB,4700,1.3,-6,0,78867-68694,3.8,,,,,,,,
Zach Gentry,PIT,CIN,TE,4700,1.4,-6,0,78867-64221,3.3,,,,,,,,
Demetric Felton,CLE,CAR,WR,4600,1,-6.1,0,78867-70282,2.9,,,,,,,,
Dare Ogunbowale,HOU,IND,RB,4600,1,-6.1,0,78867-28827,3.7,,,,,,,,
Antony Auclair,HOU,IND,TE,4200,0.2,-6.1,0,78867-80011,2,,,,,,,,
Chris Manhertz,JAX,WAS,TE,4200,0.2,-6.1,0,78867-18009,2.3,,,,,,,,
Marquez Callaway,NO,ATL,WR,4900,1.6,-6.1,0,78867-71246,4.7,,,,,,,,
Nick Vannett,NO,ATL,TE,4300,0.5,-6.1,0,78867-28570,3.2,,,,,,,,
Greg Dortch,ARI,KC,WR,4900,1.5,-6.2,0,78867-69558,4.4,,,,,,,,
Ronald Jones II,KC,ARI,RB,5500,2.7,-6.2,0,78867-63591,5.6,,,,,,,,
